요양기관명,요양종별,시도명,도로명주소,표시과목명,개설일자,전화번호,lat,lng
힐세리온의원,의원,서울,"서울특별시 구로구 디지털로 306, 대륭포스트타워2차 218,219호 (구로동)",일반의,2026-01-26,02-6095-6326,37.4859231683292,126.897336395657
365친절다함약국,약국,서울,"서울특별시 성북구 삼선교로10길 37, 1층 (삼선동2가)",,2026-01-26,02-2088-2538,37.5865591205999,127.009852216708
땡큐약국,약국,서울,"서울특별시 강동구 천호대로 1116, 103호 (성내동, 라이저강동빌딩)",,2026-01-02,070-4184-0026,37.5346033324204,127.135156170058
365더바른신경외과의원,의원,서울,서울특별시 성동구 왕십리로,신경외과,2026-01-08,02-2282-3650,37.5564070882657,127.043294117246
참약사응암샘터약국,약국,서울,"서울특별시 은평구 연서로 17, 1동 101호 (역촌동, 더-위일 이노 펠리체)",,2026-01-14,070-7809-6119,37.600630639168,126.915659465643
너와의원,의원,서울,"서울특별시 서초구 강남대로 385, AHN385 3~4층 (서초동)",일반의,2026-01-19,02-581-1668,37.4970879561064,127.027512166059
온유당한의원,한의원,서울,"서울특별시 강남구 선릉로 837, 3층 (신사동)",,2026-01-26,02-6953-5612,37.5268574066192,127.040104864704
서울온한의원,한의원,서울,"서울특별시 관악구 시흥대로 576, 3층 (신림동)",,2026-01-29,02-6952-5506,37.4840659932609,126.903076335442
연세미담치과의원,치과의원,서울,서울특별시 중구 중림로,,2026-01-09,02-704-2872,37.5585560078261,126.966216915334
엑소메디의원,의원,서울,"서울특별시 서초구 서초대로 309, 장안빌딩 나동 3층 (서초동)",일반의,2026-01-22,02-549-8882,37.4944625578805,127.015338795915
연세마주봄의원,의원,서울,"서울특별시 중구 퇴계로 447, 110호 (황학동, 황학 아크로타워)",일반의,2026-01-19,02-2135-4881,37.5660419798503,127.021721835241
차 재활의학과의원,의원,서울,"서울특별시 금천구 시흥대로 335, 2,3층 (독산동)",재활의학과,2026-01-19,02-806-4573,37.4634767996937,126.897064048702
방배바른본외과의원,의원,서울,"서울특별시 서초구 효령로 120, 지하1층 (방배동)",외과,2026-01-15,02-521-6753,37.4810800444621,126.997496374984
라움스마일안과의원,의원,서울,"서울특별시 강남구 테헤란로4길 5, 해암빌딩 3층,5층 일부호 (역삼동)",안과,2026-01-27,02-6949-3222,37.4979246534828,127.030009309581
충무로 에이트약국,약국,서울,"서울특별시 중구 명동8나길 28-1, 1층 (충무로1가)",,2026-01-07,0507-1432-6557,37.5614209702434,126.98340146241
디엠씨(DMC)움직임한의원,한의원,서울,"서울특별시 마포구 월드컵북로 375, DMC 이안상암1단지 3층 301호 (상암동)",,2026-01-29,02-303-7510,37.5775739803674,126.890723266484
종로더서울약국,약국,서울,"서울특별시 종로구 종로 197, 1층 (종로4가)",,2026-01-07,02-766-2055,37.5711295570444,126.999552418729
온양신세계한의원,한의원,울산,"울산광역시 울주군 온양읍 대운길 27, 2층",,2026-01-19,052-716-1082,35.4129269403288,129.28070102815
울산365정형외과의원,의원,울산,"울산광역시 북구 화산로 101, 송정테라스 2층 201~205호 (송정동)",정형외과,2026-01-26,052-707-3777,35.6009777250746,129.365516177992
윤약국,약국,경기,"경기도 구리시 이문안로 31, 2층 204호 (교문동)",,2026-01-20,031-565-4577,37.5923090473201,127.134841738617
봉약국,약국,경기,"경기도 광명시 하안로 309, 세인빌딩 101호 (하안동)",,2026-01-15,02-6941-0956,37.4629665279646,126.879144149199
1층문약국,약국,경기,"경기도 수원시 장안구 서부로 2139, SK HUB BLUE 1층 1004호 (율전동)",,2026-01-19,031-302-2002,37.2994565096042,126.971691058764
아침향기약국,약국,경기,"경기도 동두천시 동광로 52, 1층 (생연동)",,2026-01-12,031-836-7205,37.9084513332167,127.054102872638
호호한의원,한의원,경기,"경기도 성남시 중원구 산성대로 404, 1층 (금광동)",,2026-01-12,031-747-8271,37.4478735888572,127.158643133091
한도건강약국,약국,경기,"경기도 안산시 단원구 선부광장1로 186, 한영타워 1층 121호 (선부동)",,2026-01-14,031-413-4131,37.3340646975817,126.807030385618
통진365열린의원,의원,경기,"경기도 김포시 통진읍 마송1로84번길 85, 102,201호",일반의,2026-01-23,031-998-3650,37.6885155956027,126.597825452479
서울베스트마취통증의학과의원,의원,경기,"경기도 양평군 양평읍 시민로20번길 2, MH 4층",마취통증의학과,2026-01-19,010-7706-7689,37.4895634790988,127.493840679674
양지퍼스트의원,의원,경기,"경기도 용인시 처인구 양지읍 양지로138번길 14, 2층 202호",일반의,2026-01-28,031-328-8575,37.2334830850446,127.28286535101
고은약국,약국,경기,"경기도 용인시 처인구 포곡읍 포곡로 121, 1층",,2026-01-12,031-321-8818,37.270144902511,127.218389840599
오산퍼스트약국,약국,경기,"경기도 오산시 오산로 199, 동양프라자 107호 (오산동)",,2026-01-20,010-7638-5375,37.1447054055699,127.068290574679
연세더좋은산부인과의원,의원,경기,"경기도 용인시 수지구 고기로 80, 3층 307호 (동천동)",산부인과,2026-01-21,031-266-2026,37.344903632041,127.094359175421
안양다인치과의원,치과의원,경기,"경기도 안양시 동안구 경수대로883번길 66, 201호 (비산동, 대명맨션)",,2026-01-23,010-7446-2875,37.3972837504898,126.935056445971
제이엠가정의학과의원,의원,경기,"경기도 성남시 분당구 분당로53번길 11, 서원포스 2층 일부호 (서현동)",가정의학과,2026-01-28,031-8023-9336,37.3840685060485,127.121552034556
동탄바로척의원,의원,경기,"경기도 화성시 동탄구 동탄기흥로353번길 99-3, 301,302,303,304,305호 (오산동)",일반의,2026-01-26,031-378-1191,37.1878199659137,127.086156828795
수려한한방병원,한방병원,경기,"경기도 오산시 운천로 50, 인송빌딩 2,3층 (원동)",,2026-01-09,031-373-8500,37.1469607675465,127.074699507307
최공주산부인과의원,의원,경기,"경기도 성남시 수정구 위례광장로 300, 창곡동 509번지 8층 814호 (창곡동)",산부인과,2026-01-30,031-8039-7710,37.4734715546921,127.14270025965
하남바른재활의학과의원,의원,경기,"경기도 하남시 신장로 156, 하남프라자 3층 301호 (덕풍동)",재활의학과,2026-01-22,031-8027-8907,37.5399258139391,127.201939866363
톤즈의원,의원,경기,"경기도 부천시 원미구 신흥로 223, 신중동역 랜드마크 푸르지오 시티 218호~224호 (중동)",일반의,2026-01-06,032-710-2432,37.5040206135821,126.775245999304
광명아산온내과 영상의학과의원,의원,경기,경기도 광명시 광명로,내과,2026-01-29,02-2613-0720,37.4461999927246,126.846432334441
동탄바로튼튼365의원,의원,경기,"경기도 화성시 동탄구 동탄솔빛로 68, 계림개발 502~505호호 (반송동)",일반의,2026-01-05,031-8015-0650,37.1944053678094,127.074942090868
정감한의원,한의원,경기,경기도 성남시 수정구 위례광장로,,2026-01-16,031-778-7510,37.4687885072208,127.140485332975
서울거탑정형외과의원,의원,경기,"경기도 의정부시 오목로225번길 140, 107~109, 202호 (민락동)",정형외과,2026-01-07,031-853-8889,37.7450286296568,127.09488765612
삼성베스트신경외과의원,의원,경기,"경기도 성남시 분당구 백현로101번길 29, C&C 빌딩 3층 (수내동)",신경외과,2026-01-02,031-711-7575,37.378217449818,127.113469441546
더나은정형외과의원,의원,경기,"경기도 수원시 장안구 이목로 24-3, 201, 202호 (정자동)",정형외과,2026-01-08,031-8067-7100,37.309589687482,126.984570695359
메인비뇨의학과의원,의원,경기,"경기도 안양시 동안구 시민대로 214, 다운타운빌딩 302호 (호계동)",비뇨의학과,2026-01-19,031-382-6579,37.3919331303769,126.954812908919
웰컴365신경외과의원,의원,경기,"경기도 안양시 만안구 안양로 309, 101-106호, 108호 일부, 109-111호 (안양동)",신경외과,2026-01-22,031-443-7582,37.3993170254009,126.92023325576
의료법인메디피아 메디피움성남의원,의원,경기,"경기도 성남시 중원구 금상로 137, 노인보건센터, 중원구보건소 1층 (상대원동)",일반의,2026-01-22,031-1899-0050,37.4421562499795,127.170580838216
오산탑신경외과의원,의원,경기,"경기도 오산시 성호대로 81, 수영빌딩 4층, 5 일부층 (오산동)",신경외과,2026-01-05,031-372-8875,37.1491229057781,127.070354598707
더퍼스트송탄마취통증의학과의원,의원,경기,"경기도 평택시 탄현로327번길 8, 4,5층 (신장동)",마취통증의학과,2026-01-22,031-667-7575,37.0815611150807,127.055511399443
유앤아이의원,의원,경기,"경기도 광주시 광주대로 30, 광주종합터미널 2층 2145, 2146호 (경안동)",일반의,2026-01-16,031-797-6020,37.4096365869962,127.261220653134
화성백화점대형약국,약국,경기,경기도 화성시 봉담읍 삼천병마로,,2026-01-15,010-4706-2720,37.2293323967153,126.952606515954
초록약국,약국,경기,"경기도 안성시 중앙로411번길 8, 성민빌딩 (영동)",,2026-01-27,031-8052-8275,37.0071815410409,127.272765892638
베리미의원,의원,경기,경기도 양주시 옥정동로7다길,일반의,2026-01-28,031-864-7582,37.8200866649025,127.092488505178
서울하루치과의원,치과의원,경기,"경기도 수원시 권선구 세화로 134, 타임빌라스 수원 7층 (서둔동)",,2026-01-23,031-8019-7728,37.264162726921,126.997385539043
바른정형외과의원,의원,경기,"경기도 안성시 중앙로411번길 8, 성민빌딩 1,2,4,5층 (영동)",정형외과,2026-01-27,031-8052-8288,37.0071815410409,127.272765892638
365인덕원탑정형외과의원,의원,경기,"경기도 안양시 동안구 흥안대로 527, 스타타워빌딩 201,202,302,303호 (관양동)",정형외과,2026-01-19,031-346-1234,37.4011337474236,126.97615264591
세모네모한의원,한의원,경기,"경기도 안양시 동안구 평촌대로223번길 43, 청구랜드 402호 (호계동)",,2026-01-05,010-8975-1524,37.3904454112661,126.95331675734
동탄맥스웰의원,의원,경기,"경기도 화성시 동탄구 동탄대로 537, 라스플로레스 201,202,203,216호 (오산동)",일반의,2026-01-27,031-377-5824,37.2022219858229,127.097923632495
수원도담외과의원,의원,경기,"경기도 수원시 팔달구 효원로 279, 3층 302호 (인계동)",외과,2026-01-08,031-8001-1000,37.2619663511254,127.032748635803
성복나은약국,약국,경기,"경기도 용인시 수지구 성복2로 17, 수지 골드프라자1 114-1호 (성복동)",,2026-01-06,010-6430-0286,37.3107115964055,127.081023433323
다올약국,약국,경기,경기도 고양시 일산서구 고양대로,,2026-01-07,010-5171-2648,37.6755594333397,126.74483778837
매머드약국,약국,경기,경기도 여주시 가남읍 경충대로 1473-7,,2026-01-29,031-881-0337,37.2144717857174,127.534858889191
달팽이약국,약국,경기,"경기도 화성시 병점구 효행로 990, 비젼월드 108호 (진안동)",,2026-01-19,031-222-8162,37.2111924156472,127.036371138681
스노우의원 수원점,의원,경기,"경기도 수원시 팔달구 효원로 279, 3층 (인계동)",일반의,2026-01-14,031-236-1040,37.2619663511254,127.032748635803
바른수약국,약국,경기,"경기도 성남시 수정구 수정로 144, 1층 (수진동)",,2026-01-26,031-755-9306,37.441851176738,127.136128565025
마석오케이정형외과의원,의원,경기,"경기도 남양주시 화도읍 마석로 33, 3층 315~316호,322~327호",정형외과,2026-01-15,031-511-7977,37.6538878819739,127.305840197489
우리집한의원,한의원,경기,"경기도 화성시 효행구 봉담읍 상리3길 188, 407, 408호",,2026-01-19,031-227-7582,37.2244026273059,126.946768661128
호매실연세신경외과의원,의원,경기,"경기도 수원시 권선구 금곡로 205, 해피라움 2층 209~212호 (금곡동)",신경외과,2026-01-13,031-292-7582,37.2743274287064,126.952960325252
수원대형약국,약국,경기,"경기도 수원시 팔달구 권광로 197, 101호 (인계동)",,2026-01-12,031-237-9207,37.2652309036616,127.032797173699
삼성늘봄산부인과의원,의원,경기,"경기도 시흥시 황고개로 531, 영광프라자 1동 401,402호 (장곡동)",산부인과,2026-01-06,031-504-7575,37.3781229671527,126.78860880932
다나을약국,약국,경기,"경기도 하남시 대청로 13, 코아빌딩 2층 일부호 (신장동)",,2026-01-02,031-8027-6632,37.5402476925058,127.21369160774
마디원정형외과의원,의원,경기,"경기도 광명시 범안로 1050, 7층 701,702호 (하안동)",정형외과,2026-01-05,02-897-0180,37.4621607259826,126.879735362989
광명함께하는한의원,한의원,경기,"경기도 광명시 범안로 1050, 5층 8호 (하안동)",,2026-01-06,02-899-6263,37.4621607259826,126.879735362989
안양우리들약국,약국,경기,"경기도 안양시 만안구 안양로 297, 1층 102호 (안양동)",,2026-01-09,031-442-2221,37.3985195029362,126.920996086487
원당성모내과의원,의원,경기,"경기도 고양시 덕양구 고양대로 1415, C507~C512호 (성사동)",내과,2026-01-30,031-962-9110,37.6537831910422,126.841400997902
일산연세비뇨의학과의원,의원,경기,"경기도 고양시 일산서구 고양대로 666, B동 209-213호 (일산동, e편한세상 일산 어반스카이)",비뇨의학과,2026-01-13,031-994-7531,37.6835547426274,126.769264328922
아이온누리약국,약국,경기,"경기도 화성시 병점구 효행로 1337-23 (반월동, e편한세상 반월 나노시티역)",,2026-01-07,031-235-6119,37.2262740665539,127.060796158136
케이제노셀병원,병원,경기,경기도 고양시 덕양구 향기로,,2026-01-06,02-3158-2282,37.5996479135967,126.893667169597
해든현송약국,약국,경기,"경기도 의왕시 포일로 81, 삼우상가 109호 (포일동)",,2026-01-27,010-7423-8730,37.3915315919586,126.981366228346
운정성모365정형외과의원,의원,경기,"경기도 파주시 청석로 116, 301호 (동패동)",정형외과,2026-01-08,031-935-5048,37.7129807250219,126.721301804869
탑스마일치과의원,치과의원,경기,"경기도 시흥시 마유로418번길 10, 201호 (정왕동)",,2026-01-09,031-497-2804,37.3514020956173,126.74185573009
다나약국,약국,경기,경기도 이천시 장호원읍 경충대로 596,,2026-01-28,031-641-7194,37.1524940307164,127.578168992983
봉선친한약국,약국,전남,전남광주통합특별시 남구 봉선중앙로,,2026-01-02,062-681-1296,35.1274302125195,126.91121517466
우리약국,약국,전남,"전남광주통합특별시 무안군 일로읍 일로로 48-1, 우리약국",,2026-01-20,061-281-3388,34.8488776884272,126.492209198834
보스턴바우치과의원,치과의원,전남,전남광주통합특별시 서구 상무대로,,2026-01-26,062-376-2280,35.1512276919639,126.86309350262
라이프내과의원,의원,전남,전남광주통합특별시 북구 동문대로,내과,2026-01-30,062-251-8275,35.1914864461048,126.935001482456
김석재마취통증의학과의원,의원,전남,"전남광주통합특별시 북구 북문대로 37, 4층 (운암동)",마취통증의학과,2026-01-19,062-512-8575,35.1748988897454,126.881285631489
금호온가족치과의원,치과의원,전남,전남광주통합특별시 서구 금화로,,2026-01-16,062-672-2222,35.1329347825167,126.868170740354
고래한방병원,한방병원,세종,"세종특별자치시 보듬3로 158, 아름메디컬센터 2,3,6층 (아름동)",,2026-01-14,044-417-6636,36.5122891154975,127.242240923775
안녕하유치과의원,치과의원,세종,"세종특별자치시 한누리대로 2149, 엔젤타워 3층 302, 303호 (보람동)",,2026-01-20,010-3003-7569,36.4778052000471,127.287839973781
독도한의원,한의원,세종,세종특별자치시 조치원읍 조치원로 63,,2026-01-19,044-865-4005,36.6027661795626,127.303451930366
양두병성형외과의원,의원,서울,"서울특별시 강남구 압구정로 168, 지하1층 (신사동)",성형외과,2025-12-18,010-8893-2087,37.5266258290626,127.02798435354
서대문삼성내과의원,의원,서울,"서울특별시 중구 통일로 114, 바비엥-2 2층 201-1,201-2,202,203-1,203-2호 (의주로1가)",내과,2025-12-23,02-365-1479,37.5652419713173,126.967932658604
조이한의원,한의원,서울,"서울특별시 은평구 진관2로 60, 324동 B104호 (진관동, 은평뉴타운 마고정)",,2025-12-23,02-353-7006,37.6339160374251,126.922796996822
케이올림성형외과의원,의원,서울,"서울특별시 강남구 도산대로 106, BK성형외과 3층 (논현동)",성형외과,2025-12-24,02-6494-0888,37.5161268144095,127.020462427035
크리스성형외과의원,의원,서울,"서울특별시 강남구 도산대로 111, S-TOWER 6층 (신사동)",성형외과,2025-12-28,02-540-5800,37.5169615546195,127.020689790302
서울메디칼의원,의원,서울,"서울특별시 서초구 서운로 216, 동인빌딩 2층 (서초동)",일반의,2025-12-12,02-599-7600,37.5023787621337,127.0218706432
연세더미소치과교정과의원,치과의원,서울,"서울특별시 서대문구 연세로 10-1, 즐거운빌딩 7층 (창천동)",,2025-12-03,02-393-2879,37.5564898249423,126.937122838477
서울해피e(이)치과의원,치과의원,서울,"서울특별시 서대문구 거북골로 120, 상가3동 제지1층 3-8,3-9호 (남가좌동, DMC센트레빌)",,2025-12-03,02-303-2872,37.5754832622486,126.916097519773
눈사랑온누리약국,약국,서울,"서울특별시 강동구 풍성로37길 41, 1층 일부호 (성내동)",,2025-12-22,02-6396-7390,37.5337186980892,127.126313892782
메트로약국,약국,서울,"서울특별시 강남구 삼성로 155, 대치퍼스트빌딩 118호 (대치동)",,2025-12-11,02-555-2304,37.4938813994708,127.062951852624
서울메가팩토리약국,약국,서울,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 3,4층 (독산동)",,2025-12-30,0507-1356-2994,37.4686638539154,126.896885338466
명문한의원,한의원,서울,"서울특별시 동대문구 고산자로 469, 1층 (제기동)",,2025-12-01,02-969-5949,37.5815283037163,127.03828484118
제이앤제이치과의원,치과의원,서울,"서울특별시 관악구 남부순환로 1718, 봉천빌딩 2층 (봉천동)",,2025-12-19,02-875-2875,37.48245568288,126.940811996706
청담잇츠미의원,의원,서울,"서울특별시 강남구 선릉로157길 14, 한주빌딩 3층 4층 (신사동)",일반의,2025-12-15,02-515-0555,37.5261489250877,127.03882748441
리프티의원,의원,서울,"서울특별시 강남구 도산대로63길 15, 웰스어드바이저스빌딩 4층 (청담동)",일반의,2025-12-19,02-517-7582,37.5249841417827,127.043393943641
강남유로비뇨의학과의원,의원,서울,"서울특별시 서초구 서초대로 248, 2층 (서초동)",비뇨의학과,2025-12-02,02-588-5575,37.4918755318064,127.008820261085
사점사의원,의원,서울,"서울특별시 강남구 도산대로 427, 파모소빌딩 2층 (청담동)",일반의,2025-12-01,02-514-0440,37.523948653363,127.042558928333
시그니처요양병원,요양병원,서울,서울특별시 송파구 마천로 164 (오금동),,2025-12-17,02-6011-9119,37.5035220971088,127.137404429063
루카두리약국,약국,서울,서울특별시 강남구 강남대로,,2025-12-11,02-583-9305,37.5262280049871,127.013953355824
양재봄약국,약국,서울,"서울특별시 강남구 강남대로 246, 다림빌딩 1층 102호 (도곡동)",,2025-12-02,02-575-4062,37.4854982294048,127.034003657973
다가가는약국,약국,서울,"서울특별시 종로구 새문안로 17, 4.19기념도서관 3층 (평동)",,2025-12-26,02-6261-7575,37.5674449313701,126.967693785699
명동하나약국,약국,서울,"서울특별시 중구 명동8길 32, 1층 (명동2가)",,2025-12-08,0507-1300-7079,37.5623362860876,126.984685555669
올센병원,병원,서울,"서울특별시 마포구 독막로 241, 지하2-3층, 지상2-5층 (대흥동)",,2025-12-23,1833-2299,37.5469574448447,126.940601931391
연세하늘정신건강의학과의원,의원,서울,"서울특별시 마포구 양화로 156, LG팰리스빌딩 3층 301호 (동교동)",정신건강의학과,2025-12-03,02-332-8788,37.5561130617043,126.923446601456
제이엔비의원,의원,서울,"서울특별시 강남구 도산대로 119, 6층 (신사동)",일반의,2025-12-02,02-2038-3734,37.5173261424208,127.021465412617
명동케이약국,약국,서울,"서울특별시 중구 명동8나길 10, 사보이호텔 1층 (충무로1가)",,2025-12-03,0507-1449-8057,37.5617791431214,126.98425410318
에버비외과의원,의원,서울,"서울특별시 강남구 봉은사로 117, 이건빌딩 3층 (논현동)",외과,2025-12-08,02-514-8288,37.5053395204016,127.026451623327
강남샘약국,약국,서울,"서울특별시 강남구 언주로 309, 기성빌딩 1층 (역삼동)",,2025-12-08,02-2502-7779,37.4950938752003,127.045735086147
글로우포트의원,의원,서울,"서울특별시 강서구 화곡로68길 3, 3층 일부호 (등촌동)",일반의,2025-12-22,02-3662-6770,37.5595836717982,126.854737852729
하이연세치과의원,치과의원,서울,"서울특별시 노원구 한글비석로20길 10, 지상2층 (중계동)",,2025-12-09,02-6011-2090,37.6596549495786,127.07371762424
루센느의원,의원,서울,"서울특별시 강남구 봉은사로 105, 동양빌딩 5층 502호 (논현동)",일반의,2025-12-30,02-6952-3663,37.5049715004391,127.025024207865
마트약국,약국,서울,"서울특별시 동작구 동작대로 89, 골든시네마타워 105,106호 (사당동)",,2025-12-01,010-9737-4565,37.4846140265703,126.981665713772
리움한의원,한의원,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3016,3052,3053,3054호 (둔촌동)",,2025-12-12,02-6475-9000,37.5274758605763,127.137046059861
뉴영의원,의원,서울,"서울특별시 강남구 압구정로60길 8, 2층 일부호 (청담동)",일반의,2025-12-29,02-2088-4260,37.5268841561745,127.041949806097
하담한의원,한의원,서울,"서울특별시 강서구 공항대로 635, 2층 (염창동)",,2025-12-03,02-6951-5365,37.5472626732763,126.875270707574
명동벤자민피부과의원,의원,서울,"서울특별시 중구 남대문로 90, 세미콜론명동 15층 (남대문로2가)",피부과,2025-12-23,02-6272-7007,37.5650919219854,126.982923560746
가양2층약국,약국,서울,"서울특별시 강서구 양천로 401, 강서한강자이타워 B동 208호 일부호 (가양동)",,2025-12-12,010-5414-4158,37.5657034766638,126.847638315393
산뜻하지외과의원,의원,서울,"서울특별시 용산구 새창로 217, 용산토투밸리 3층 일부호 (한강로2가)",외과,2025-12-04,02-797-5910,37.5302166820111,126.967776259525
리브힙의원,의원,서울,"서울특별시 서초구 강남대로 407, OPUS 9층 (서초동)",일반의,2025-12-17,02-6204-8888,37.499001814488,127.026591200089
당산사랑3층약국,약국,서울,"서울특별시 영등포구 당산로 133, 3층 306호 (당산동3가)",,2025-12-18,010-6803-2046,37.5267169970163,126.896540534023
365아이엠유의원,의원,서울,"서울특별시 송파구 송파대로 지하82, 장지역 104호 (장지동)",일반의,2025-12-19,02-401-0365,37.4781192050612,127.126424204036
리베라한의원,한의원,서울,"서울특별시 은평구 은평로 108, 2층 202호 (응암동, 메트로럭스주상복합APT)",,2025-12-04,02-388-9872,37.5997123185996,126.919882555261
메가라운지약국,약국,서울,"서울특별시 관악구 남부순환로 1793, 백광빌딩 1층 (봉천동)",,2025-12-03,010-5964-7747,37.481942029552,126.949367719564
압구정에테르나의원,의원,서울,"서울특별시 강남구 논현로159길 10, 2층 (신사동)",일반의,2025-12-03,02-467-9337,37.5231163060183,127.027338798625
감사한내과의원,의원,서울,"서울특별시 동대문구 천호대로 2, 이지빌딩 4층 (신설동)",내과,2025-12-17,02-3298-6725,37.5750052699082,127.023557307449
마음지음정신건강의학과의원,의원,서울,"서울특별시 서초구 강남대로79길 16, 3층 (반포동)",정신건강의학과,2025-12-30,000-0000,37.5051131854149,127.023021188324
명동 친한 약국,약국,서울,"서울특별시 중구 퇴계로 125, 1층 (충무로2가)",,2025-12-19,02-757-7179,37.5611441257602,126.985711115194
참약사본약국,약국,서울,"서울특별시 관악구 남부순환로 1911, 1층 (봉천동)",,2025-12-22,02-6671-0833,37.4780033733494,126.961883013413
헤브피부과의원,의원,서울,"서울특별시 강남구 도산대로 119, 16층 (신사동)",피부과,2025-12-26,02-511-8081,37.5173261424208,127.021465412617
서울크라운치과의원,치과의원,서울,"서울특별시 강남구 학동로 203, 3층 (논현동)",,2025-12-31,02-3444-2888,37.514422743867,127.031186730157
달리기한의원,한의원,서울,"서울특별시 송파구 올림픽로34길 3-36, 201호 (방이동)",,2025-12-29,02-419-1020,37.5167736852434,127.112367107429
왕십리밴스의원,의원,서울,"서울특별시 성동구 왕십리로 333, 유성빌딩 5층 (하왕십리동)",일반의,2025-12-16,02-6956-0521,37.562723999259,127.032571064368
자연본한의원,한의원,서울,"서울특별시 송파구 양재대로 1164, 홍일빌딩 3층 (오금동)",,2025-12-18,02-6953-8810,37.5110472091949,127.128258090026
늘경희부부한의원,한의원,서울,"서울특별시 강동구 올림픽로 783, 3층 301호 (암사동)",,2025-12-29,02-6952-4365,37.5511436157073,127.127611666932
오테나의원,의원,서울,"서울특별시 중구 남대문로 90, 세미콜론명동 17층 (남대문로2가)",일반의,2025-12-16,02-6956-5623,37.5650919219854,126.982923560746
디토셀의원,의원,서울,서울특별시 강남구 언주로,일반의,2025-12-17,02-564-7774,37.5070444396357,127.040077297966
예피다의원,의원,서울,"서울특별시 강남구 강남대로 624, ICT TOWER 6층 (신사동)",일반의,2025-12-22,02-6952-2586,37.5175038906888,127.019500864334
리앤웰성형외과의원,의원,서울,"서울특별시 강남구 테헤란로 216, 신웅타워 4층 (역삼동)",성형외과,2025-12-22,02-6228-6886,37.5014432260166,127.040146004168
페슈의원,의원,서울,"서울특별시 강남구 강남대로 364, 미왕빌딩 3층 (역삼동)",일반의,2025-12-01,02-553-8176,37.4955498697675,127.029293901519
인애한의원,한의원,서울,"서울특별시 강동구 올림픽로78길 60, 3동 225호 (천호동, 강동 밀레니얼 중흥S-클래스)",,2025-12-30,02-6925-5758,37.5409734434557,127.128499316444
(주)바임부속의원,의원,서울,"서울특별시 강남구 영동대로 502, K뷰티스퀘어 5층 (삼성동)",일반의,2025-12-15,02-6214-0857,37.5097239718468,127.063608152755
고려튼튼신경외과의원,의원,서울,"서울특별시 광진구 긴고랑로 32, 지하1, 1, 2층 (중곡동)",신경외과,2025-12-03,02-464-8111,37.5629542522925,127.079801102078
김슬기정신건강의학과의원,의원,서울,"서울특별시 강서구 마곡중앙로 56, 마곡사이언스타워2 2층 215, 216호 (마곡동)",정신건강의학과,2025-12-12,070-7657-9293,37.5585523530405,126.827153750211
명동뷰티온의원,의원,서울,"서울특별시 중구 남대문로 90, 세미콜론명동 16층 (남대문로2가)",일반의,2025-12-24,02-6956-7255,37.5650919219854,126.982923560746
아윤의원,의원,서울,"서울특별시 서초구 강남대로 441, 서산빌딩 7층 (서초동)",일반의,2025-12-18,02-6246-8300,37.5017358451233,127.025278490231
당산성모내과의원,의원,서울,"서울특별시 영등포구 당산로 133, 서림빌딩 2층 201~203, 205호 (당산동3가)",내과,2025-12-04,02-2632-2500,37.5267169970163,126.896540534023
하우스정신건강의학과의원,의원,서울,"서울특별시 송파구 오금로 538, 성빌딩 2층 (거여동)",정신건강의학과,2025-12-11,02-431-7588,37.49274198307,127.148452244822
성북동비둘기약국,약국,서울,"서울특별시 성북구 성북로 3, 1층 102호 (성북동1가)",,2025-12-03,02-6951-2403,37.5886289829251,127.005521234685
톤즈의원,의원,서울,"서울특별시 송파구 송파대로 558, 월드타워빌딩 6층 (신천동)",일반의,2025-12-08,02-6956-0156,37.5150948546972,127.099711730295
씨티약국,약국,서울,"서울특별시 영등포구 여의대방로 375, 아일렉스타워 1층 109호 (여의도동)",,2025-12-01,02-784-8285,37.5188985287759,126.930776116511
오프약국,약국,서울,서울특별시 마포구 와우산로23길 41 (서교동),,2025-12-26,02-336-8661,37.5546616634149,126.923475134297
신사세레아의원,의원,서울,"서울특별시 강남구 도산대로 150, 지하2층 (논현동)",일반의,2025-12-26,02-6956-5731,37.51797386116,127.025179673133
옵티마 웰니스 뮤지엄 종각약국,약국,서울,"서울특별시 종로구 청계천로 41, 영풍빌딩 지하2층 B202호 (서린동)",,2025-12-08,010-7116-2962,37.5696679696981,126.982179278549
그린치과의원,치과의원,서울,"서울특별시 중랑구 신내로7길 16, 건영2차아파트 상가동 3층 306,307호 (신내동)",,2025-12-31,02-433-2222,37.6022814507164,127.095771798579
하나메디퀸즈의원,의원,서울,"서울특별시 강서구 마곡중앙8로1길 81, 3층 IT-308~9,BT-330~4호 (마곡동)",일반의,2025-12-24,010-4732-9968,37.5685092627898,126.837632450912
뉴스케치 약국,약국,서울,"서울특별시 중구 명동8가길 9, 1층 뉴스케치 약국 (충무로2가)",,2025-12-19,070-4131-0625,37.561777410478,126.985498889434
정연훈플러스이비인후과의원,의원,서울,"서울특별시 송파구 중대로 126, 5층 (가락동)",이비인후과,2025-12-11,02-409-1119,37.4939995366148,127.122247312503
개운한의원,한의원,서울,"서울특별시 강동구 아리수로93길 27, 강일타워 206,207호 (강일동)",,2025-12-18,02-6953-7522,37.5656225735773,127.17381574584
